 initial energy:           16
 initial magnetization:           24
 average energy:   -1616.9571519080898     
 fraction accepted swaps:   0.14642187500000001     
 elapsed time [s] :   0.64798200000000006     
 final energy	(simu) :        -1562
 final magnetization (simu) :          632
 Magnetization Distribution: 
         -86   1.7546875000000002E-003   6.9484238861455911E-005
         -84   1.6959635416666668E-003   6.7088805701351860E-005
         -82   1.7488281250000002E-003   6.8960995369468425E-005
         -80   1.7024739583333334E-003   6.6857978939356132E-005
         -78   1.7901041666666668E-003   6.9956794588334846E-005
         -76   1.8016927083333333E-003   7.0241242324564610E-005
         -74   1.8617187500000001E-003   7.2497998869595063E-005
         -72   1.9255208333333333E-003   7.4748352613363323E-005
         -70   2.0006510416666666E-003   7.7194191759064499E-005
         -68   1.9630208333333335E-003   7.5525771904827850E-005
         -66   1.7921875000000002E-003   6.8928385910869329E-005
         -64   1.8328125000000000E-003   7.0337361930175189E-005
         -62   1.8194010416666666E-003   6.9649813909994289E-005
         -60   1.8513020833333335E-003   7.0723360801342125E-005
         -58   1.8601562500000000E-003   7.0876561891087780E-005
         -56   1.9412760416666667E-003   7.3689040931163615E-005
         -54   1.8880208333333333E-003   7.1667076766244583E-005
         -52   1.7878906250000000E-003   6.7841359608110423E-005
         -50   1.8001302083333335E-003   6.8489920588283299E-005
         -48   1.8578125000000001E-003   7.0942839110195105E-005
         -46   1.9276041666666667E-003   7.3642492792670396E-005
         -44   1.9990885416666668E-003   7.6533695431436782E-005
         -42   1.9967447916666666E-003   7.6333777214211313E-005
         -40   2.0656250000000002E-003   7.8996066773774864E-005
         -38   2.0561197916666666E-003   7.8385122852934669E-005
         -36   2.0480468750000000E-003   7.8131382021462439E-005
         -34   2.2141927083333336E-003   8.4318655612844112E-005
         -32   2.2125000000000001E-003   8.4298288928679076E-005
         -30   2.1048177083333335E-003   8.0047838204575628E-005
         -28   2.1503906250000000E-003   8.1634386890877433E-005
         -26   2.1184895833333333E-003   8.0068461188110467E-005
         -24   2.0149739583333335E-003   7.6086548690551208E-005
         -22   2.0786458333333334E-003   7.8370077465496308E-005
         -20   2.2518229166666667E-003   8.4894486735431952E-005
         -18   2.1881510416666668E-003   8.2435352781359687E-005
         -16   2.3428385416666667E-003   8.8390948839380369E-005
         -14   2.4628906250000002E-003   9.3085369194224245E-005
         -12   2.4901041666666669E-003   9.4237171258933263E-005
         -10   2.6729166666666668E-003   1.0114139519119760E-004
          -8   2.6433593750000003E-003   1.0016272047296486E-004
          -6   2.6618489583333333E-003   1.0094818929429740E-004
          -4   2.6904947916666670E-003   1.0184136154560581E-004
          -2   2.6472656250000003E-003   1.0000199013683677E-004
           0   2.5341145833333335E-003   9.5625486406352418E-005
           2   2.6041666666666670E-003   9.8373902057780511E-005
           4   2.4865885416666669E-003   9.4123045125898183E-005
           6   2.4235677083333336E-003   9.1911590634190544E-005
           8   2.6019531250000001E-003   9.8593746279062943E-005
          10   2.6541666666666667E-003   1.0043190761775973E-004
          12   2.5033854166666668E-003   9.4739795786668619E-005
          14   2.3493489583333335E-003   8.8794042631318428E-005
          16   2.2555989583333334E-003   8.5099561315210708E-005
          18   2.3378906250000001E-003   8.8076570020191206E-005
          20   2.3889322916666668E-003   9.0063556617033086E-005
          22   2.4066406249999999E-003   9.0736290515833646E-005
          24   2.3832031249999999E-003   8.9991088897134648E-005
          26   2.3709635416666666E-003   8.9610732008254675E-005
          28   2.2572916666666666E-003   8.5692626772040632E-005
          30   2.1324218750000002E-003   8.1097645918733985E-005
          32   2.1634114583333336E-003   8.2427970253648938E-005
          34   2.3447916666666669E-003   8.9291993547550543E-005
          36   2.3513020833333333E-003   8.9700330379780579E-005
          38   2.1919270833333335E-003   8.3562482306776152E-005
          40   2.2199218750000001E-003   8.4896869794887016E-005
          42   2.1845052083333334E-003   8.3511690924214116E-005
          44   2.1333333333333334E-003   8.1673162635879646E-005
          46   2.1809895833333334E-003   8.3322869108161930E-005
          48   2.1170572916666668E-003   8.0842418074899227E-005
          50   2.0714843750000000E-003   7.8814187821989089E-005
          52   1.9061197916666669E-003   7.2327555407699989E-005
          54   1.9587239583333336E-003   7.4350885227214995E-005
          56   2.0757812499999999E-003   7.8794734088443927E-005
          58   2.1661458333333333E-003   8.2535523142946682E-005
          60   2.2837239583333334E-003   8.7242722260144856E-005
          62   2.3272135416666667E-003   8.9089753382475342E-005
          64   2.2764322916666666E-003   8.7362041675564985E-005
          66   2.3454427083333335E-003   9.0206845060483094E-005
          68   2.4123697916666668E-003   9.2814140095565529E-005
          70   2.4450520833333334E-003   9.4341199664934146E-005
          72   2.4523437500000001E-003   9.5199518063300315E-005
          74   2.4722656250000001E-003   9.6273570047349376E-005
          76   2.5148437500000002E-003   9.8044327112570712E-005
          78   2.5315104166666667E-003   9.8930753592261120E-005
          80   2.5149739583333335E-003   9.8765725675997219E-005
          82   2.6199218750000003E-003   1.0331056420438346E-004
          84   2.5585937500000001E-003   1.0121267040549438E-004
          86   2.6559895833333336E-003   1.0517508936598231E-004
          88   2.6471354166666670E-003   1.0508221985518235E-004
          90   2.6355468750000003E-003   1.0500164037449628E-004
          92   2.6304687500000000E-003   1.0510275721489730E-004
