 conserved    temp
    0.1125053101E+03    0.8434521418E-01
    0.1125053438E+03    0.2209176690E-08
    0.1125053895E+03    0.6254939607E-18
    0.1125053865E+03    0.4356114095E-10
    0.1125053473E+03    0.1078132052E-05
    0.1125053468E+03    0.1132850328E-13
    0.1125053724E+03    0.3010609551E-16
    0.1125054118E+03    0.9725472652E-11
    0.1125054273E+03    0.9025464656E-12
    0.1125053749E+03    0.2017710367E-17
    0.1125053153E+03    0.1958796589E-14
    0.1125053419E+03    0.6165043867E-05
    0.1125053565E+03    0.3445134372E-09
    0.1125053776E+03    0.2141155504E-20
    0.1125053594E+03    0.4924480579E-09
    0.1125053483E+03    0.2682940858E-04
    0.1125053435E+03    0.1511368794E-12
    0.1125053534E+03    0.4846827622E-19
    0.1125053658E+03    0.1886877347E-07
    0.1125053431E+03    0.1261723343E-09
    0.1125052864E+03    0.1129096258E-14
    0.1125053076E+03    0.5368054037E-18
    0.1125053646E+03    0.2855450921E-09
    0.1125053419E+03    0.3698876957E-12
    0.1125052515E+03    0.3889054111E-15
    0.1125052404E+03    0.1548652805E-16
    0.1125053023E+03    0.1921465294E-13
    0.1125052713E+03    0.9592367896E-07
    0.1125052219E+03    0.2275576979E-12
    0.1125053005E+03    0.1559021216E-16
    0.1125053365E+03    0.2889941111E-15
    0.1125055225E+03    0.1381631080E+00
    0.1125052501E+03    0.1063959846E-07
    0.1125052970E+03    0.1834998881E-16
    0.1125053173E+03    0.2232214258E-15
    0.1125052858E+03    0.2349590636E+00
    0.1125052623E+03    0.1111990450E-07
    0.1125053115E+03    0.7746709959E-16
    0.1125053427E+03    0.1396599627E-16
    0.1125052513E+03    0.1204484422E-03
    0.1125052541E+03    0.5896990435E-06
    0.1125052642E+03    0.3777482172E-14
    0.1125052984E+03    0.1029240665E-17
    0.1125052727E+03    0.2708637932E-04
    0.1125052336E+03    0.1871480817E-03
    0.1125052382E+03    0.2389357582E-09
    0.1125052665E+03    0.2928130909E-20
    0.1125052191E+03    0.1808656147E-10
    0.1125052199E+03    0.3355044780E-05
    0.1125052557E+03    0.7641041346E-09
    0.1125052737E+03    0.3234544893E-19
    0.1125052215E+03    0.1203554415E-10
    0.1125052214E+03    0.1187870469E-04
    0.1125052549E+03    0.7006687391E-09
    0.1125052695E+03    0.8605485911E-19
    0.1125052107E+03    0.3199389336E-12
    0.1125052084E+03    0.3109500735E-08
    0.1125052529E+03    0.5764365290E-07
    0.1125052175E+03    0.4514939804E-19
    0.1125051876E+03    0.1706988491E-16
    0.1125052501E+03    0.1889024285E-16
    0.1125052286E+03    0.6255556762E-04
    0.1125052080E+03    0.7024539225E-05
    0.1125052454E+03    0.4073873524E-15
    0.1125051961E+03    0.4516710497E-16
    0.1125052016E+03    0.3420659009E-17
    0.1125052447E+03    0.4566884342E-11
    0.1125051924E+03    0.4674470702E-02
    0.1125052019E+03    0.3359641460E-03
    0.1125052392E+03    0.7533170169E-20
    0.1125052014E+03    0.3368473791E-17
    0.1125052307E+03    0.1134385271E-16
    0.1125052622E+03    0.2548931917E-02
    0.1125052150E+03    0.2799341872E-11
    0.1125052147E+03    0.6363476287E-14
    0.1125052673E+03    0.4795169615E-19
    0.1125052354E+03    0.3849332909E-04
    0.1125052114E+03    0.8484197992E-04
    0.1125052377E+03    0.1512623106E-11
    0.1125052832E+03    0.2287966555E-19
    0.1125052123E+03    0.1843932650E-08
    0.1125052122E+03    0.2558894327E-05
    0.1125052719E+03    0.4158825366E-10
    0.1125052631E+03    0.9430381338E-18
